name	types	score	votes	watched	plan_to_watch	full_name	year	nations	languages	runtime	fivestars	tags	tags	imdb
指环王3：王者无敌	剧情/动作/奇幻/冒险	9.1	311107	405995	30838	指环王3：王者无敌 The Lord of the Rings: The Return of the King	2003	美国 / 新西兰	英语 / 昆雅语 / 古英语 / 辛达林语	201	63.9%,28.1%,7.4%,0.5%,0.2%	魔幻,史诗,经典,美国,战争,奥斯卡,新西兰,2003	魔幻,史诗,经典,美国,战争,奥斯卡,新西兰,2003	http://www.imdb.com/title/tt0167260
活着	剧情/家庭/历史	9.1	301353	385505	91597	活着	1994	中国大陆 / 香港	汉语普通话	132	62.1%,31.4%,6.0%,0.4%,0.1%	张艺谋,活着,葛优,文革,中国电影,巩俐,剧情,中国	张艺谋,活着,葛优,文革,中国电影,巩俐,剧情,中国	http://www.imdb.com/title/tt0110081
两杆大烟枪	剧情/喜剧/犯罪	9.1	293769	368073	115683	两杆大烟枪 Lock, Stock and Two Smoking Barrels	1998	英国	英语	107	61.1%,31.4%,6.8%,0.6%,0.2%	黑色幽默,英国,喜剧,犯罪,黑帮,剧情,黑色,经典	黑色幽默,英国,喜剧,犯罪,黑帮,剧情,黑色,经典	http://www.imdb.com/title/tt0120735
窃听风暴	剧情/悬疑	9.1	245980	301240	114061	窃听风暴 Das Leben der Anderen	2006	德国	德语	137	63.4%,30.1%,5.9%,0.4%,0.1%	德国,人性,剧情,德国电影,东德,社会主义,窃听,2006	德国,人性,剧情,德国电影,东德,社会主义,窃听,2006	http://www.imdb.com/title/tt0405094
辩护人	剧情	9.1	232858	262612	81964	辩护人 변호인	2013	韩国	韩语	127	63.5%,30.8%,5.3%,0.3%,0.1%	韩国,政治,法律,民主,人性,剧情,感人,2013	韩国,政治,法律,民主,人性,剧情,感人,2013	http://www.imdb.com/title/tt3404140
饮食男女	剧情/家庭	9.1	219804	270703	84328	饮食男女 飲食男女	1994	台湾 / 美国	汉语普通话 / 闽南语 / 湖南话	124	59.7%,34.3%,5.6%,0.3%,0.1%	李安,家庭,台湾,台湾电影,伦理,饮食男女,剧情,张艾嘉	李安,家庭,台湾,台湾电影,伦理,饮食男女,剧情,张艾嘉	http://www.imdb.com/title/tt0111797
教父2	剧情/犯罪	9.1	204759	275189	50431	教父2 The Godfather: Part Ⅱ	1974	美国	英语 / 意大利语 / 西班牙语 / 拉丁语 / 西西里语	202	62.9%,30.3%,6.3%,0.4%,0.1%	黑帮,教父,经典,美国,犯罪,剧情,人性,1974	黑帮,教父,经典,美国,犯罪,剧情,人性,1974	http://www.imdb.com/title/tt0071562
素媛	剧情	9.1	201760	234374	81632	素媛 소원	2013	韩国	韩语	123	62.1%,31.6%,5.8%,0.4%,0.1%	韩国,人性,犯罪,虐心,温情,感人,家庭,剧情	韩国,人性,犯罪,虐心,温情,感人,家庭,剧情	http://www.imdb.com/title/tt3153634
美国往事	剧情/犯罪	9.1	189342	247897	148388	美国往事 Once Upon a Time in America	1984	意大利 / 美国	英语 / 法语 / 意大利语	229	63.5%,29.2%,6.5%,0.5%,0.2%	美国,黑帮,经典,人生,罗伯特·德尼罗,美国往事,剧情,美国电影	美国,黑帮,经典,人生,罗伯特·德尼罗,美国往事,剧情,美国电影	http://www.imdb.com/title/tt0087843
地下	剧情/喜剧/战争	9.1	26180	33315	67678	地下 Подземље	1995	法国 / 南斯拉夫联盟共和国 / 德国	塞尔维亚-克罗地亚语 / 德语 / 英语 / 法语	170	66.2%,24.7%,7.1%,1.4%,0.6%	南斯拉夫,库斯图里卡,荒诞,黑色,法国,战争,欧洲电影,1995	南斯拉夫,库斯图里卡,荒诞,黑色,法国,战争,欧洲电影,1995	http://www.imdb.com/title/tt0114787
